district_type,nbr_floors,units,hospital,bld_age,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,floor*age,Aver_trans,Aver_food,Aver_school,Aver_shop,price_sqm
2,5,834,2.1,28,0,0,0,1,0,0,0,1,0,1,0,0,140,6.1,0.9875,1.42,2.58,10577
2,8,471,1.8,8,1,1,1,1,0,0,1,1,0,1,1,1,64,7.64,0.5325,0.726,0.794,49059
2,16,140,2.3,24,1,1,1,1,0,0,0,0,0,1,0,1,384,3.98,0.465,0.746,0.184,31129
2,8,270,0.68,3,1,1,1,1,1,1,1,0,0,0,0,0,24,6.68,0.4375,0.798,0.4924,87368
2,10,560,0.69,28,1,1,1,1,0,0,0,0,0,1,0,0,280,6.66,0.395,0.83,0.5204,42597
2,11,1553,2,27,1,1,1,1,0,0,0,0,0,1,0,0,297,7.8,0.7875,0.864,0.8208,19071
2,38,592,1.4,9,1,1,1,1,1,1,1,1,0,1,1,1,342,7.48,0.3975,0.62,0.904,63000
2,8,79,1.8,7,1,1,1,1,1,0,1,0,0,0,0,0,56,2.82,1.525,1.92,2.62,54741
2,36,400,0.46,6,1,1,1,1,1,1,1,1,0,0,0,1,216,5.8,0.4575,0.568,1.16,89261
2,9,1748,0.98,22,1,1,1,1,1,0,0,1,1,1,1,0,198,5.8,0.25775,0.8,1.56,24184
2,8,408,1.3,6,1,1,1,1,1,0,1,1,0,0,0,0,48,6.84,0.495,1.3,2.2,53226
2,8,1114,1.1,7,1,1,1,1,1,1,1,1,0,1,0,1,56,2.82,0.003,0.802,0.0136,63793
2,8,486,2,6,1,1,1,1,1,0,1,1,0,0,0,0,48,6.68,0.132,0.75,1.2,60505
2,21,960,0.79,15,1,1,1,1,0,0,0,1,1,1,1,1,315,7.02,0.59,1.42,1.184,38288
2,26,470,1.7,11,1,1,1,1,1,0,1,1,0,0,0,1,286,4.8,0.56,0.882,1.08,93287
2,18,540,1.8,13,1,1,1,1,1,0,1,0,0,0,0,1,234,3.94,0.267,0.342,1.4132,51006
2,9,2812,2.9,16,0,0,0,1,1,0,0,1,0,0,0,0,144,8.82,0.8,1.94,1.86,15217
2,6,360,1.4,12,1,1,1,1,0,0,0,0,0,0,0,0,72,3.02,0.5075,0.928,0.104,45054
2,19,639,2,13,1,1,1,1,1,0,1,1,0,0,0,0,247,5.22,0.1575,0.744,1.66,48666
2,8,69,1,11,1,1,1,1,1,0,1,0,0,0,0,0,88,5.42,0.68,1.184,1.88,47690
2,8,470,1.6,17,1,1,1,1,0,0,1,1,1,0,0,1,136,7.46,0.13475,1.072,0.94,45135
2,7,856,0.042,16,1,1,1,1,0,0,1,1,0,1,1,0,112,4.58,0.1675,0.33,0.3212,36264
2,8,470,2.5,13,1,1,1,1,0,0,1,0,0,1,0,1,104,8.22,0.4575,1.44,1.54,32439
2,8,998,1.7,10,1,1,1,1,1,0,1,1,1,1,1,0,80,3.96,0.2725,0.496,1.56,49367
2,23,827,0.61,11,1,1,1,1,1,1,1,1,1,1,1,0,253,5.36,0.355,0.868,0.594,71077
2,9,225,3.1,13,1,1,1,1,0,0,0,0,0,1,0,0,117,31.8,8.6,7.04,10.64,19754
2,5,712,1.8,4,1,1,1,1,0,0,0,1,0,0,0,0,20,3.94,0.52,0.51,1.96,60435
2,7,112,2.2,27,0,0,0,1,0,0,0,0,0,0,0,0,189,6.28,0.55,1.28,1.54,133511
2,7,700,1.7,25,1,1,1,1,0,0,0,0,0,0,0,0,175,3.74,0.52,0.612,1.84,20827
2,19,1024,1.5,25,1,1,1,1,0,0,1,0,0,1,0,0,475,7.66,0.5255,0.798,1.008,35837
2,8,540,1.6,9,1,1,1,1,1,0,1,1,0,1,1,0,72,3.28,0.1355,0.522,0.044,82588
2,35,924,0.86,7,1,1,1,1,1,0,1,1,0,1,0,1,245,2.534,0.2115,0.974,0.2116,98270
2,8,340,0.96,9,1,1,1,1,1,0,1,1,0,0,0,0,72,5.98,0.3325,0.896,1.7,59193
2,8,370,1,7,1,1,1,1,1,0,1,0,0,0,0,0,56,5.94,0.27275,0.894,1.66,50514
2,7,79,1.2,10,1,1,1,1,1,0,1,0,0,0,0,1,70,7.1,0.5125,1.496,1.52,54948
2,20,867,1.2,5,1,1,1,1,1,1,1,1,0,1,1,1,100,6.78,0.465,1.3,2.18,75363
2,8,540,2.1,16,1,1,1,1,0,0,0,0,0,1,1,0,128,8.04,0.29,0.96,1.5,57692
2,8,900,2,16,1,1,1,1,0,0,0,1,0,1,0,1,128,8.36,2.2,3.56,3.7,19766
2,24,815,2,4,1,1,1,1,1,0,1,1,1,0,0,1,96,11.24,2.6,4.46,18.92,85479
2,8,791,2,9,1,1,1,1,0,0,1,1,1,1,1,0,72,8.92,1.475,2.76,3.66,46242
2,8,286,2,5,1,1,1,1,1,0,1,1,0,1,0,0,40,11.22,2.6,4.42,18.92,54010
